kor_label,eng_label
초조한,Nervous
죄책감,Guilty
버려진,Abandoned
신이 난,Excited
염세적인,Pessimistic
좌절하는,frustrating
조심스러운,cautious
두려운,Feaful
회의적인,skeptical
혐오스러운,repulsive
희생된,victimized
구역질나는,disgusting
감사하는,Thankful
노여워하는,Furious
흥분되는,Thrilled
툴툴대는,grumbling
외로운,Lonely
안도하는,relieved
남의 시선 의식하는,self-contious
충격받은,Shocked
우울한,gloomy
느긋한,Easygoing
열등감,Inferiority complex
마비된(정지된),Stunned
짜증내는,Annoying
편안한,comfortable
실망한,disappointed
부끄러운,shameful
눈물이 나는,tearjerking
악의적인,malicious
만족스러운,Satisfied
고립된,isolated
방어적인,defensive
취약한(연약한),Fragile
배신당한,betrayed
불우한,underprivileged
당혹스러운,baffling
성가신(화난),irritating
억울한,Mortified
후회되는,regrettable
괴로워하는,distressed
질투하는,Jealous
안달하는,fretting
스트레스받는,Stressed 
혼란스러운,confused
사랑하는,Loving
비통한,sorrowful
걱정스러운,Worrying
환멸을 느끼는,disillusioned
한심한,Pathetic
자신하는,confident
낙담한,dejected
기쁨,happy
당황,flustered
무감정,neutral
분노,angry
불안,anxious
상처,hurt
슬픔,sad